filename,caption
fighting_person (84).jpg,"Indoors, two adult men and an adult woman are involved in a fight, the two men grabbing each other’s clothes and pushing, while the woman stands between them trying to stop the fight; the men are wearing a blue cap with a navy shirt and a checkered suit, and all are standing."
fire (101).png,"A large fire rages on a tall building during the daytime, with heavy smoke billowing into the clear blue sky."
convertible (324).jpg,"A deep, midnight-blue convertible rests beside a sunlit roadside, its smooth, rounded body reflecting patches of sky and trees while the light beige top lies folded like soft fabric at the rear, chrome wheels glint against the grass, and the fenced industrial backdrop contrasts with the car’s calm, elegant glow."
m8_ppe (278).jpg,"Young adults wear white masks and gloves, one posing boxing while others work at computers during daytime."
dog (154).jpg,Two dogs are running in the dirt.
suitcase (6).jpg,Men and women in their 20s are posing with large suitcases.
sports_car (121).jpg,"A white and blue classic MGB GT racing coupe, with a driver wearing a helmet, speeds along a track during daytime, set against a blurred background of green grass and foliage."
rickshaw (152).jpg,"An adult male driver drives a red and black cycle-rickshaw, covered by a black umbrella, on a bustling street lined with shops and hanging banners at sunset."
concrete_truck (14).jpg,A white Iveco concrete mixer truck is parked in a gravel lot on a sunny day.
recycling_truck (269).jpg,A white truck is driving down the street with a full bed of garbage.
tractor (312).jpg,"A red tractor with a canopy and driver is positioned behind a white tractor, which is in front of another white tractor, all on a dirt path next to a body of water under a clear sky."
smoke (368).jpg,"A large amount of smoke billows from a brush fire in a hilly, vegetated landscape during the daytime."
fire_truck (220).jpg,A red fire truck numbered 11 drives along the road during the day with its side profile visible.
limousine (99).jpg,A young woman in a pink gown holds a bouquet of flowers and smiles while standing next to a white stretch limousine on a sunny daytime .
m4_ppe (444).jpg,A woman is wearing clear face shield.
fire (391).png,Firefighters walk along a road through a large fire at night time.
m3_ppe (51).jpg,A confident worker in a yellow hard hat and safety vest stands with his arms crossed before a wall of shipping containers.  
walking_person (375).jpg,"At night, a yellow van is parked in front of Saechangwon Daycare Center and the streetlights are on."
police_car (331).jpg,"A city street with two NYPD vehicles, a police car and a K-9 unit, parked in front of a large building."
limousine (443).jpg,A white SUV-style stretch limousine drives down a multi-lane highway next to a blue Ford SUV on an overcast day .
walking_person (391).jpg,"A person wearing a wide-brimmed hat, black short-sleeved shirt, and dark pants is walking down a concrete path surrounded by a fence."
stealing_person (144).jpg,A man in a black leather jacket holds a knife to another man's throat while a film camera is positioned nearby.
m2_ppe (252).jpg,A man wearing a red helmet is explaining something about a wall to a group of people inside a building.
uv (429).jpg,White utility cart is parked along a shaded asphalt road in a park-like setting under bright sunlight.
m9_ppe (478).jpg,"A person wearing black shoes, a white mask, and a yellow full-body protective suit is walking diagonally."
fighting_person (342).jpg,"During the daytime, young men and women wearing school uniforms stand and fight in front of a young man in a school uniform who sits on the ground covering his head with his hands. "
rickshaw (28).jpg,"A young adult male rickshaw puller, wearing a blue headscarf and black apron, pulls a black rickshaw while a young adult female passenger, draped in a red blanket, smiles from its red-cushioned seat during the day."
fuel_truck (104).jpg,A white 'SCHENK' fuel truck with its tanker covered in a white tarp is positioned next to a large concrete pillar and exposed metal piping at an industrial facility during the daytime.
bus (69).jpg,A line of three identical green Eicher buses is parked on the shoulder of a rural road during the daytime.
sitting_person (8).jpg,A man and a woman sit on a couch in a living room discussing documents while a laptop and a coffee table are in front of them.
uv (134).jpg,A dirty white golf cart with a flat tire sits in a cluttered repair area filled with old electronic devices.
m4_ppe (299).jpg,An adult male is wearing a white helmet and yellow earmuffs.
police_car (185).jpg,A blue and white police car is parked in a parking lot next to other cars.
dump_truck (18).jpg,A red dump truck unloads dirt onto a sandy beach under a clear blue sky.
dump_truck (95).jpg,A red dump truck unloads dirt at a construction site under a partly cloudy sky.
crane_truck (441).jpg,A white Hyundai truck equipped with a red Unic crane is parked on a paved road during the daytime.
airplane (353).jpg,"A white Baltic International jet, featuring a thin red stripe along the fuselage, the text ""Baltic International"" in black, and the registration ""YL-LBV"" near the tail, sits on a sunny tarmac with a distinct red and white tail, while a Lufthansa-painted Condor aircraft rests behind it next to a large, modern terminal building."
m4_ppe (216).jpg,"A male worker is waving his hand while wearing a white helmet, orange vest, and blue mask."
dump_truck (118).jpg,"A worker in a bright orange uniform gestures towards a line of massive yellow mining trucks moving across a dusty, industrial landscape under a cloudy sky."
cat (51).jpg,"A black cat is standing among dense green plants in a lush, overgrown outdoor area."
fire (455).png,A large fire rages through the dry brush and trees under a cloudy daytime sky.
bicycle (114).jpg,A woman wearing a red jacket and a helmet is riding a bicycle down a road.
dump_truck (252).jpg,"A massive yellow haul truck sits on a dusty surface in front of a tiered, rocky mine wall under a clear blue sky."
m7_ppe (356).jpg,"A man in a checkered shirt smiles for the camera while wearing a clear face shield that has a grey headband with the ""Tower Plus Inc."" logo."
suitcase (276).jpg,A large blue carrier is placed next to a dog and a man in a blue suit.
bulldozer (93).jpg,A yellow bulldozer is next to the building during the bright day.
recycling_truck (8).jpg,A row of green buses are parked next to each other on a street.
rickshaw (6).jpg,"A middle-aged man sits in the driver's seat of a black and white auto-rickshaw, holding something small in his hands during the daytime."
m6_ppe (102).jpg,"Four people in purple work clothes, red work vests, yellow safety helmets, and red safety harnesses touch a rope."
car (298).png,"At night, a stream of cars including a gray Hyundai sedan and a black SUV drives under green lights on a wide urban road."
m4_ppe (83).jpg,A young woman is wearing a white face mask.
m4_ppe (326).jpg,A young woman is wearing a white face mask.
bulldozer (132).jpg,"At sunset when the sunset is visible, the JCB brand's bulldozer is full of stones in the bucket, and parts like excavators are attached behind the bulldozer."
train (284).jpg,A white passenger train moves on the tracks with no people visible in bright daytime.
walking_person (363).png,"A man wearing a blue striped t-shirt and shorts walks away on the crosswalk, while a woman in a pink t-shirt and jeans crosses the street at a crosswalk at night."
ambulance (307).jpg,A large ambulance is parked with plate 9982 2054; no people are visible.
walking_person (249).png,A woman wearing a white t-shirt and loose grey pants walks along the sidewalk at a night intersection while a yellow bus drives in the background.
fire (357).png,"A large fire rages at night, illuminating the sky with an intense orange glow behind silhouetted palm trees."
helicopter (207).jpg,"A black small helicopter with a two-leaf propeller, a two-leaf tail rotor system and a skid landing gear has two people on board and the door is open, flying over a wave beach."
taxi (342).jpg,Gray sedan taxi drives on the road surrounded by adult men and women walking with no visible brand or license plate during a clear daytime.
fire (447).png,"A large fire rages on a hillside, consuming trees and vegetation under a dark sky, with smoke billowing upwards."
recycling_truck (14).jpg,A row of green tractors are parked next to each other on a concrete surface.
forklift (19).jpg,"A blue truck with a flatbed trailer, loaded with shrink-wrapped brick pallets, is parked near a yellow forklift moving a pallet of bricks in an industrial yard during the daytime. "
dump_truck (489).jpg,"A white utility truck, a dump truck filled with dirt, and a yellow backhoe are parked on a suburban street next to a residential house."
fire (472).png,Several adult males in protective gear survey a large wildfire burning on a hillside during daytime.
m6_ppe (65).jpg,"A man in a red safety helmet, red work clothes, and sunglasses carries lumber on one shoulder with both hands."
road_roller (365).jpg,"A used orange Dynapac tamping foot road roller with an enclosed cab, designed for compacting cohesive soils, is actively working on a construction site during the day, with another smaller compactor visible in the background."
tractor (204).jpg,A man drives a red tractor with a white canopy and large white-rimmed rear tires through a dirt field surrounded by lush green trees and foliage under a clear blue sky.
dump_truck (271).jpg,A red dump truck is filled with asphalt while a paving machine is seen in the background.
sports_car (287).jpg,"A vibrant blue and yellow Chevrolet touring car, displaying the number 18 and numerous sponsor logos, races on an asphalt track during the bright daytime."
rv (493).jpg,"An adult woman with curly hair drives a van with a small white dog in the passenger seat, a blue surgical mask hanging from the gear shift, and trees visible through the windshield during daytime. "
cat (217).jpg,A fluffy orange cat with a red collar looks toward the camera against a metallic background.
sports_car (228).jpg,"A black heavily modified Toyota Supra sports coupe, bearing numerous sponsor decals including Yokohama and MVP, rests on a concrete lot under a clear daytime sky, bordered by a green hedge and distant structures."
m1_ppe (331).jpg,"A fat worker in a harness is taking a photo inside the building, facing the front, at an angle to the side."
convertible (202).jpg,"A gold-colored convertible with a beige interior is parked in bright sunlight, its glossy body and chrome accents reflecting the light while it sits in front of a dark, modern backdrop."
m1_ppe (252).jpg,A female worker in a red safety helmet is taking a picture with a smile on her harness.
m3_ppe (103).jpg,A worker in a yellow helmet and vest gives a thumbs up at a construction site.
dump_truck (161).jpg,"A yellow excavator digs into a pile of dirt next to a large building under construction, with trucks waiting nearby under a clear blue sky."
holdingGun_person (142).jpg,"An adult man wearing a green long-sleeved shirt, jeans and a navy bag is picking up a bunch of money at the store."
convertible (150).jpg,"A silver convertible sports car sits in a clean, minimalist white studio setting. Its design is refined — long hood, low stance, and an elegant front grille that gives it a sophisticated, timeless look. The car radiates quiet confidence, like something meant more for grand tours than for showing off."
m10_ppe (439).jpg,"An adult man works on a wooden roof structure during daytime, wearing a blue and black fall arrest harness as PPE."
fallen_person (28).jpg,A construction worker in a yellow hard hat kneels to aid an injured colleague lying on the ground among scattered building materials and yellow tarps.
bicycle (393).png,A street with a yellow line and a brick wall with a sign on it.
m8_ppe (50).jpg,"During the day outdoors, a young adult with a clear face shield and blue clips looks at the camera."
ambulance (475).jpg,A medium ambulance van is parked with unreadable plate; no one is visible.
fire_truck (252).jpg,A red-and-black Squad 55 fire truck stands parked on the road in daytime.
fire_truck (111).jpg,A red fire truck labeled Squad is parked on the road in daylight with one adult male’s face visible nearby.
motorbike (115).jpg,An adult male wearing a black helmet and an adult female wearing a red helmet ride a red motorbike with two children during the daytime.
pickup_truck (214).jpg,"On the left side of a wide road, a white pickup truck is seen from behind, its metal-fenced cargo bed holding an adult in a light blue shirt and a purple hat along with various items."
taxi (326).jpg,A white Kia SUV taxi stands on the road with license plate 31사 9304 under cloudy daylight.
bird (162).jpg,A white flamingo walks to the left on the sand near the sea during the daytime.
bulldozer (361).jpg,A yellow bulldozer stands in front of a small snowdrift on a cloudy day.
police_car (108).jpg,A man wearing a mask and a blue shirt is holding a red object in front of a red bus and police car.
stealing_person (372).jpg,A person wearing a blue glove sprays green paint onto a yellow wall covered in colorful graffiti.
bicycle (383).jpg,A group of bicyclists wearing helmets and riding bikes down a street.
fuel_truck (366).jpg,A white fuel truck with a white and blue tanker is positioned directly under the wing and engine of a wide-body passenger jet on the tarmac during the daytime.
concrete_truck (138).jpg,A large metal object with a triangle shape on the front of it.
road_roller (338).jpg,"A used yellow Volvo tamping foot road roller with a ROICO 1838 decal, designed for compacting sandy soils, is actively working on a dirt road during the day, with an adult male operator visible inside the open canopy."
train (272).jpg,A red and gray passenger train speeds out of a tunnel with no people visible in daytime.
bus (408).jpg,"Passengers disembark from a black 'HANIF' coach bus on a dusty roadside, while a man in a blue shirt stands with his luggage in the foreground."
motorbike (350).png,"A black delivery motorbike with a red cargo box is parked on a sidewalk, as a silver taxi drives past on the street during the daytime."
bus (405).jpg,"A white bus with red and blue graphics is stopped in traffic as two men lean out the open door and window, smiling."
helicopter (395).jpg,"A camouflaged small helicopter with a five-blade propeller, tail rotor, and skid landing gear flies over cloudy weather."
ambulance (127).jpg,"A medium Hyundai ambulance with plate 796965 is parked, no people visible."
m3_ppe (158).jpg,Two workers in helmets inspecting shipping containers at a port.
helicopter (220).jpg,"A person is in a yellow helicopter with a four-leaf propeller, a two-leaf tailrotor and a skid landing gear, and flies over a woody thicket."
crane_truck (395).jpg,A white truck with a red crane arm next to a blue truck carries a black car in its cargo bed during the daytime.
m5_ppe (267).jpg,"A man in his 20s or 30s, wearing a black short-sleeved shirt and a yellow earmuffs, is using both hands to properly adjust his yellow face protection gear in the daytime."
jeep (150).jpg,"A white jeep drives dusty ground, a large line of park off-road vehicles at the base of a steep, forested mountain range during the daytime."
rickshaw (335).jpg,A monochromatic auto-rickshaw carrying an adult male driver and an adult passenger travels along a blurred city street during the daytime.
m4_ppe (235).jpg,Construction workers are working on rebar while wearing white helmets and vests.
rv (467).jpg,"A person sits atop a dark van with the rear hatch open, illuminated by lights from within, under a vast, star-filled night sky. "
stealing_person (101).jpg,A man in black clothing and gloves cautiously climbs over a brick wall into a garden.
stealing_person (83).jpg,"A father instructs his daughter on aiming a rifle at a shooting range, both wearing protective earmuffs and eyewear."
stealing_person (157).jpg,A person wearing a black ski mask and hoodie attempts to break into a building with a crowbar.
quad (410).jpg,"A black and red ATV, featuring bright red frame components and white suspension springs, sits parked on a gray asphalt surface next to a generic black car and a building with graphic lettering during the daytime."
m10_ppe (66).jpg,"An adult man, dressed in a white suit, black safety harness, and orange helmet, stands on a wind turbine at daytime, gazing over a vast forested landscape."
fighting_person (499).jpg,"During the day, an adult man in a gray top and beige pants and an adult man in a white top with jeans stand facing each other while struggling."
ambulance (282).jpg,A medium ambulance van has no readable plate and no people are present.
van (305).jpg,"On the left side of a sandy beach overlooking the sea, a white van with a white plate reading “EZS317” is parked facing backward, displaying the word “GATEWAY” and a mountain icon on its rear."
holdingGun_person (147).jpg,5 yellow stars 5 blue stars 3 white stars and an orange 50 euro note with a building in hand.
cat (499).jpg,An orange cat is drinking water from a white bowl.
m4_ppe (159).jpg,An adult male is hammering wood while wearing a yellow helmet and gloves.
cat (435).jpg,A calico cat with white paws lies on the carpet and looks to the side.
m3_ppe (271).jpg,A worker in a reflective vest smoothing concrete with a tool.
sports_car (462).jpg,A dark gray Ferrari race car sits on a paved track with mountains in the background during the daytime.
motorbike (467).jpg,"A young woman sits on the floor leaning against a white, blue, and red motorbike in a garage with other motorbikes."
limousine (350).jpg,A group of adult people stands posing next to a white SUV-style stretch limousine parked on a busy street illuminated by bright city lights at night time.
bulldozer (5).jpg,A yellow bulldozer of VOLVO brand L150G stands during the sunny day.
fighting_person (59).jpg,"During the daytime, two adult men are fighting, one wearing a white shirt and gray pants stands holding the other man’s leg, while the other, wearing a gray shirt, black pants, and a tie, is sprawled on the ground using his arms and legs as he tries to escape. "
m7_ppe (28).jpg,"A woman with long brown hair looks directly at the camera while wearing a large, transparent face shield that covers her entire face."
m7_ppe (409).jpg,A silver mannequin displays a black and orange full-body safety harness from a back-right perspective.
concrete_truck (351).jpg,"A cement truck is parked on a wet road, with another cement truck behind it."
walking_person (188).png,"An elderly person wearing a hat, a blue vest over a long-sleeved shirt, and dark pants walks along a path behind a low hedge and fence."
fuel_truck (162).jpg,"The rear of a silver fuel tanker displaying the '1267' hazard number and 'POLAR' mud flaps is visible in the foreground, with another identical tanker parked behind it during the daytime."
suv (390).png,A white SUV drives by the KB Kookmin Bank building at night.
forklift (202).jpg,An adult male operates a red and black J-FINE forklift in a warehouse during the daytime. 
ambulance (485).jpg,A medium ambulance van with unreadable plate is parked; no one is around.
suv (297).jpg,"A silver Hyundai SUV is parked on the right side of a narrow street lined with buildings, while an adult male lies on the ground next to a white car on the left side of the street during the daytime."
m1_ppe (84).jpg,It is connected by a loop behind the harness of a worker wearing a yellow safety helmet and an orange harness.
bus (145).jpg,"Several teal 'GREEN LINE' buses are parked in a wet, muddy yard surrounded by other buses and city apartment buildings."
sports_car (364).jpg,A silver Mercedes-Benz CLK GTR racing car sits stationary outside a building during the daytime.
recycling_truck (387).jpg,A garbage truck is parked on the side of the road next to a white car.
car (451).jpg,"During the day, a bright yellow Hyundai minibus is parked in front of houses on a narrow residential road."
fire_truck (478).jpg,A red fire truck stands in front of a building at midday while several adult men gather around it.
truck (145).jpg,A blue cargo truck with side-printed Vietnamese text is parked under an overpass during daytime.
convertible (431).jpg,"A lone figure sits in a dark, vintage convertible parked at the edge of a sun-drenched coastline, their arm draped casually over the door as the low, golden light washes across the car’s glossy curves and scatters into warm lens flares, while the hazy horizon melts softly into the shimmering water beyond."
ship (296).jpeg,"A three-masted sailing ship with cream sails, blue and yellow hull accents, and numerous rigging lines moves across a calm channel while a large French flag waves from the stern beneath a clear blue sky."
fighting_person (127).jpg,"During the daytime, young men wearing white shirt uniforms and black shorts are taking a stance to fight with fists against other men wearing yellow T-shirts and black pants. "
fighting_person (26).jpg,"During the daytime, adult men wearing blue outfits are standing and fighting."
m2_ppe (335).jpg, A group of workers wearing yellow and red helmets are operating heavy drilling machinery on muddy ground near a body of water.
cat (60).jpg,A brown tabby cat is sitting alertly in the middle of a green field.
convertible (57).jpg,"This is a Spyker C8 Spyder — a rare Dutch masterpiece that looks like it was handcrafted by a jeweler obsessed with speed, all aviation-inspired details and scissor doors made for drama."
fire (178).png,Three adult male firefighters observe a large fire at night time.
pickpocketing_person (188).jpg,Young adults in streetwear - one in a red dress and sunglasses checking her phone while another hand holds a purse strap - during daytime.
motorbike (18).jpg,Two adult males pose with a black motorbike in an outdoor motorbike market during the daytime.
pickup_truck (306).jpg,"A white pickup truck with a black cargo bed interior is seen from behind on the left side of a wide road, where slight tire tracks are visible near the right."
walking_person (198).png,"A man dressed in a grey t-shirt and denim shorts walks away on a park road lined with tall trees, carrying a plastic bag with a café drink in his left hand, while another person walks further ahead."
m10_ppe (254).jpg,"An adult man adjusts his blue gloves while wearing a yellow disposable gown, a blue face shield, and a green N95 respirator mask."
fighting_person (86).jpg,"During the daytime, two adult men are fighting, swinging punches at each other, one wearing a white T-shirt and dark pants, the other shirtless wearing black and teal pants, while an adult woman wearing a black sleeveless top and pants stands nearby. "
motorbike (302).jpg,"A dark motorbike with a cargo box is parked near a crosswalk, while a person rides an electric scooter in the background during the daytime."
m3_ppe (379).jpg,Two workers in reflective vests and helmets inspecting solar panels.
sports_car (458).jpg,A black Mazda RX-8 sports coupe with the number 58 on its side maneuvers through a cone course on a paved area during the daytime.
fire_truck (362).jpg,A red Detroit Fire Department truck numbered 24 is parked during daytime.
airplane (70).jpg,"A twin-engine airplane with a white fuselage and a black tail, which has 'STAR ALLIANCE' and 'Lufthansa' written on its side and the registration 'D-ARW' on the rear, flies with its landing gear down in front of a large, rocky mountainside."
dump_truck (469).jpg,A large yellow articulated dump truck sits loaded with dirt in a construction site with large piles of earth and a cloudy sky in the background.
concrete_truck (320).jpg,A row of white cement trucks are parked in front of a factory.
car (32).jpg,"At dusk, a silver sedan drives by a stationary Kakao T taxi parked near a shop entrance."
m6_ppe (445).jpg,"A man wearing a white safety helmet, light blue mask, yellow safety harness, and blue waist belt raises both hands to his chest, slightly bows his head diagonally, holds one hand floating near the blue waist belt, and touches the carabiner with the other hand during the day."
m4_ppe (340).jpg,A man is wearing yellow vest.
m7_ppe (7).jpg,"Actor and reality show host Michael ""Pekto"" Nacua excitedly wears a clear face shield while holding a white box."
forklift (3).jpg,An adult male walks towards the viewer on a concrete path between a blue truck loaded with bricks and pallets of shrink-wrapped bricks lined along a large warehouse building during the daytime. 
airplane (258).jpg,"A white Delta Connection aircraft, featuring blue ""Delta Connection"" text, a large red ""Texas"" logo with a star, and a colorful field of bluebonnet flowers on its fuselage, flies across a clear deep blue sky, displaying ""ASA"" text and the registration ""N868AS"" on its dark blue tail fin."
m4_ppe (189).jpg,A group of men are sitting while wearing yellow helmets and blue coveralls.
road_roller (78).jpg,"A used yellow Liugong tamping foot road roller with an open canopy, designed for compacting cohesive soils, is working on a dirt construction site during the day, with no people visible."
m1_ppe (17).jpg,A worker wearing a safety helmet and mask removes the hook of the harness and a passerby is watching the process.
motorbike (162).jpg,"Several motorbikes are parked in a row on the side of a road during the daytime, with a red and black one in the foreground."
fallen_person (128).jpg,A man in a blue shirt and dark pants has fallen down a staircase and is lying face down on the floor with papers scattered around him.
road_roller (477).jpg,"A used orange XCMG tamping foot road roller with an enclosed cab, designed for compacting cohesive soils, sits parked on a dirt construction site under a cloudy sky during the day, with no people visible."
bicycle (184).jpg,"A man riding a bike with a checkered flag in his hand, smiling as he goes."
truck (96).jpg,"During the day, a silver flatbed mini truck is parked on a paved road beside green bushes and a stone wall."
bus (281).png,"A high-angle view at night shows a teal-colored bus with the license plate '자 1250' beginning a left turn at a crosswalk, followed by numerous cars with illuminated red taillights."
fallen_person (257).jpg,"A person wearing athletic attire lies face down on a paved path with their legs in the air, appearing to have fallen while exercising outdoors."
bird (69).jpg,A flock of gray geese swims near the riverbank with cows nearby.
m10_ppe (81).jpg,"An adult male stands with his back to the viewer on a blurred daytime construction site, holding tools while wearing a yellow hard hat, an orange safety vest, a dark red and black safety harness, and black gloves."
pickup_truck (330).jpg,"A white pickup truck, featuring a tailgate with a white grid pattern on a black background and a metal fence around its cargo bed, is seen from behind in the left-middle of a wide road, while far in the lane to its right, another white pickup truck with a black vertical stripe containing a white cross on its tailgate is also seen from behind."
tractor (98).jpg,"A red Mahindra Arjun Novo 605 DI tractor with a driver sits in the foreground, while a blue tractor is partially visible and being pulled in the muddy field."
m1_ppe (288).jpg,"A fat worker in a harness is standing at an angle to the side inside the building, looking ahead and taking a photo with his arms extended to the side."
fighting_person (267).jpg,"During the daytime, a young boy wearing a blue jacket grabs the collar of another young boy wearing a gray jacket with one hand while they fight. "
motorbike (56).jpg,Two adult males pose with a dark green motorbike in front of a motorbike dealership during the daytime.
cat (268).jpg,An orange tabby kitten sits on a surface and looks toward the camera.
van (480).png,"In a monochrome night scene illuminated by streetlights, brick villas line the left, and a white-toned van is parked beside a white BMW. A vest-wearing individual opens the driver-side door and gets into the van."
convertible (72).jpg,"This is a BMW M6 Convertible — where grand touring meets raw adrenaline, a yacht for the asphalt, dressed in alpine white and tuned to sing in V10 opera."
m2_ppe (173).jpg,Two workers wearing blue helmets and blue work uniforms are working on underground cables.
bulldozer (61).jpg,"On a cloudy day, a man is driving an orange bulldozer under the VOLVO brand."
