filename,caption
m5_ppe (318).jpg,"A man in his 20s or 30s, wearing a black short-sleeved shirt, a yellow earmuffs, and yellow face protection gear, is wearing a white mask and a yellow"
taxi (482).jpg,A gray sedan taxi stops on the road with no visible brand or license plate while an adult man stands nearby under clear daytime weather. 
bulldozer (204).jpg,A yellow bulldozer is parked next to the trees. 
sports_car (469).jpg,"A bright red vintage convertible sits parked on a grassy field under a bright blue sky, with a distant tree and distant buildings visible in the background under a clear blue daytime sky. "
road_roller (220).jpg,"A used yellow road roller with a tamping foot drum, designed for compacting cohesive soils, is parked on a gravel lot during the day, with an adult male in a yellow shirt and blue jeans"
helicopter (77).jpg,"A black medium-sized helicopter with a four-leaf propeller, a phenestron-style tailrotor and a skid landing gear is landing on a lawn with a view of the lawn"
concrete_truck (158).jpg,"A yellow cement truck with the word ""Steel"" written on it. "
m3_ppe (359).jpg,A worker in a hard hat and safety vest holding a tablet. 
ship (207).jpeg,A large white cruise ship with colorful lifeboats moves through calm water in daytime with passengers visible on the balconies and a small white cruise ship visible in the background. 
car (300).png,A blue city bus makes a left turn at a Korean intersection at night as a man in a white shirt and black pants walks across the crosswalk. 
fallen_person (418).jpg,An orange and white racing car speeds on a wide open racetrack under a clear blue sky.  
rv (29).jpg,"A person wearing a white helmet, a blue hoodie, and a white safety vest is standing on a rooftop in a sunny daytime. "
police_car (396).jpg,A white and blue police car is parked on the side of the road. 
rv (101).jpg,A white and blue motorhome with a black trailer is parked on a grassy area next to a tree.  
fire (186).png,A large fire rages through a forest with a fire lookout tower on a hillside during night time. 
ship (249).jpeg,"A small white fishing boat with a white hull and a black sail moves across the water in daytime, with a distant shoreline and a small white house visible in the distance. "
fuel_truck (233).jpg,A white fuel tanker displays hazard numbers 33-1203 and 33-1204 on a sunny day. 
m3_ppe (249).jpg,Two engineers in helmets and vests review a document together. 
m10_ppe (27).jpg,"An adult male, wearing an orange hard hat, an orange high-visibility vest, an orange high-visibility vest over a blue short-sleeved shirt, an orange high-vis"
license_plate (96).jpg,A black vehicle displays a white license plate 101부 8191 during daytime. 
m11_ppe (6).jpg,An adult man in navy clothes is wearing red earmuffs with a black headband and a red and black adjustable headband. 
dump_truck (291).jpg,"A used yellow road roller with a tamping foot drum, designed for compacting cohesive soils, is actively working on a dirt road during the day, with an adult male in a high-visibility"
pickup_truck (353).jpg,"A silver pickup truck with a white license plate stands angled to the right on a road, with a fence and a fence in the background. "
cat (17).jpg,A fluffy kitten with bright yellow eyes sits on a patterned blanket and looks forward. 
excavator (411).jpg,A yellow Komatsu excavator sits on rocky ground with a bridge behind it under a partly cloudy daytime sky. 
m2_ppe (155).jpg,Three workers in safety vests and helmets are talking at a construction site. 
airplane (400).jpg,"A large white and blue airplane with the text 'AIR FRANCE' on its fuselage sits on a concrete ramp with its landing gear extended, showing the registration 'OE-LK' near its"
road_roller (496).jpg,"A used yellow Dynapac tamping foot road roller with an enclosed cab, designed for compacting cohesive soils, is actively working on a dirt road during the day, operated by an adult male in"
crane_truck (318).jpg,A white JAC truck equipped with a red Unic crane arm stands parked on a gravel lot during the daytime. 
m3_ppe (40).jpg,Two construction workers in safety vests and helmets shaking hands at a site. 
motorbike (213).jpg,"An adult male wearing a black helmet rides a red motorbike with a young child wearing a blue helmet as a passenger, on a street during the daytime. "
uv (179).jpg,A smiling woman in a white outfit and cap stands next to a green utility cart with a basket of vegetables. 
limousine (133).jpg,A long black Lincoln Town Car stretch limousine is parked on a paved road in front of a large stone building during the daytime . 
rickshaw (449).jpg,A light-colored auto-rickshaw with a driver travels along a paved road with utility poles and sparse vegetation in the background during the daytime. 
fire (130).png,A large fire engulfs a building with a fire extinguisher and a large fire extinguisher during the daytime. 
excavator (325).jpg,A yellow CASE excavator sits on asphalt ground with a building in the background under a clear daytime sky. 
convertible (46).jpg,"A red convertible with a beige interior is parked on a gravel driveway, its top down and its hood open as a person stands nearby. "
train (262).jpg,A long blue passenger train with yellow stripe moves along the tracks with no people visible in daytime. 
fighting_person (84).jpg,"An adult man wearing a black short-sleeved shirt, a black short-sleeved shirt, and a blue cap is fighting, grabbing the collar of another adult man wearing a black short"
fire (101).png,A large amount of dark smoke billows from a building with a red fire emblem during the daytime. 
convertible (324).jpg,"A glossy silver convertible with a sleek, muscular build is parked on a sunlit coastal road, its chrome grille and polished body reflecting the warm glow of the ocean and the distant hills in the background"
m8_ppe (278).jpg,A young adult wears white mask and gloves holding hands in a classroom during day. 
dog (154).jpg,A dog is playing with a dog. 
suitcase (6).jpg,"Men in their 30s are wearing large, intact suitcases. "
sports_car (121).jpg,"A dark blue racing coupe with the number 12 on its side speeds along a racetrack, with a green grassy field visible in the background under a clear blue daytime sky. "
rickshaw (152).jpg,"A young adult male driver wearing a blue helmet rides a cycle-rickshaw carrying a child passenger on a brightly lit day, while another adult male walks beside them. "
concrete_truck (14).jpg,A white Hyundai truck with a cement mixer on the back is parked in a gravel lot. 
recycling_truck (269).jpg,A large truck with a yellow dumpster is driving down the street with a pile of trash. 
tractor (312).jpg,"A large red tractor with a canopy and a driver sits on a dirt path next to a green field, with a green field visible in the background. "
smoke (368).jpg,"A large amount of smoke billows from a wildfire in a mountainous, wooded area during daytime. "
fire_truck (220).jpg,A red fire truck numbered 11 drives along the road during the day with its side profile visible. 
limousine (99).jpg,A young adult female bride in a white dress stands posing next to a white stretch limousine with a large red flag on its roof during the daytime . 
m4_ppe (444).jpg,A woman with dark hair looks down while wearing a clear face shield with a blue headband. 
fire (391).png,A firefighter in protective gear stands silhouetted against a large fire at night. 
m3_ppe (51).jpg,A worker in a yellow safety vest and helmet holds a container. 
walking_person (375).jpg,A white camper van sits parked on a road in front of a white house with a view of a hillside under a bright blue sky.  
police_car (331).jpg,"A white SUV with license plate P17-640 is driving down a street, with a crowd of people walking by. "
limousine (443).jpg,A long white Jeep Wrangler with number plate 51K 8150 drives down a rural road lined with tall trees under a clear blue sky during the daytime . 
walking_person (391).jpg,"A man wearing a black t-shirt, black shorts, and a cap is walking down a path with a backpack. "
stealing_person (144).jpg,"A man in his 20s or 30s, wearing a black earmuffs and a black long-sleeved shirt, is holding a gun with both hands and holding a gun with his eyes"
m2_ppe (252).jpg,A group of people wearing red and blue helmets are gathered at a construction site. 
uv (429).jpg,A white utility ATV with large knobby tires and a black seat sits on a paved road next to a lush green lawn with a tree in the background. 
m9_ppe (478).jpg,"A person wearing a yellow hazmat suit, black gloves, a respirator, and a yellow safety helmet stands with their back turned. "
fighting_person (342).jpg,"During the daytime, an adult man wearing a blue top and an adult man wearing a white top and a blue top stand while swinging their fists during a fight.  "
rickshaw (28).jpg,A smiling young adult male couple wearing a black t-shirt and black pants stands with their arms crossed as they ride a black and white motorbike on a paved road. 
fuel_truck (104).jpg,"A white semi-truck with a large 'VEGA' logo on its tank is driving down a busy highway, with a worker standing nearby. "
bus (69).jpg,A white and green 'HANIF' Volvo bus with a large advertisement on its side is parked on a dirt lot next to a green field. 
sitting_person (8).jpg,Several people sit in chairs facing each other.  
uv (134).jpg,A white recreational vehicle with a black seat and a red roll bar sits parked on a paved surface next to a green hedge and a white building. 
m4_ppe (299).jpg,A male worker is wearing a face shield. 
police_car (185).jpg,A white HYUNDAI police car is parked on the street with other cars. 
dump_truck (18).jpg,A bright red dump truck with its bed raised sits on a grassy field under a cloudy sky. 
dump_truck (95).jpg,A bright red dump truck with its bed raised sits on a gravel surface with a pile of gravel and a building in the background under a cloudy sky. 
crane_truck (441).jpg,A white Hyundai HD72 truck equipped with a red Unic crane arm stands parked on a paved surface during the daytime. 
airplane (353).jpg,"A white and blue passenger jet, featuring the registration ""N560W"" on its fuselage and a stylized blue and white logo on its tail, sits on a tarmac with its landing gear"
m4_ppe (216).jpg,"During the day, an adult male wearing a white helmet, glasses, blue mask, gloves with gray palms and white wrists, a fluorescent yellow and black vest with a name tag over a gray short-"
dump_truck (118).jpg,A worker in a blue hard hat and high-visibility vest stands on a large yellow dump truck in a quarry under a clear blue sky. 
cat (51).jpg,A person wearing a black jacket and black pants is sitting on a chair with a dog. 
fire (455).png,A large fire burns on a forested hillside with smoke billowing into the daytime sky. 
bicycle (114).jpg,A woman wearing a hat and a red shirt is running down a road with a bike on the left. 
dump_truck (252).jpg,"A large, yellow mining truck with its bed raised sits on a dirt road in front of a large, green, and white rock formation. "
m7_ppe (356).jpg,A man wearing a gray hoodie and a gray sweatshirt is wearing a face shield. 
suitcase (276).jpg,A woman is standing next to a large rock on a path with a rock in front of her. 
bulldozer (93).jpg,It is a yellow bulldozer with the brand name KOMATSU brand on the back. 
recycling_truck (8).jpg,A large green dump truck with a bucket full of garbage is parked in front of a building. 
rickshaw (6).jpg,"An adult male driver sits in a gray auto-rickshaw with license plate KA03 1203, parked on a street during the daytime. "
m6_ppe (102).jpg,"Two adult males, wearing red safety helmets, orange safety harnesses, and blue safety boots, perform safety checks on a wooden structure during daytime. "
car (298).png,"A white SUV drives through a Korean intersection at night, with a yellow bus and a white car visible on the right. "
m4_ppe (83).jpg,A young woman is wearing a white face mask. 
m4_ppe (326).jpg,A young woman is wearing a white face mask. 
bulldozer (132).jpg,"During the day, a yellow bulldozer is pouring stones into the bucket. "
train (284).jpg,A long blue passenger train moves along the tracks with no people visible in daytime. 
walking_person (363).png,"A woman wearing a black t-shirt and dark pants walks across a crosswalk at a night intersection, while a man in a white top and dark pants walks on the sidewalk behind her. "
ambulance (307).jpg,"A large ambulance with plate 703704 is parked, no people visible. "
walking_person (249).png,A white SUV drives through a Korean intersection at night with a yellow bus and other vehicles visible. 
fire (357).png,A large fire engulfs a building with flames licking the air during the daytime. 
helicopter (207).jpg,"A small helicopter with a four-blade propeller, a four-blade tail rotor, and skid landing gear flies over a cloudy sky. "
taxi (342).jpg,"A man in a white shirt and dark pants walks past a yellow traffic light, followed by a woman in a black top and black pants, while a man in a white top and black pants walks past"
fire (447).png,A large fire engulfs a building with flames visible in the background during the daytime. 
recycling_truck (14).jpg,"A person in a black jacket and dark pants is lifting a chair with one hand, while another person in a white shirt and blue jeans stands with the other hand on the floor. "
forklift (19).jpg,"A blue flatbed truck with a green flatbed, a red flatbed, and a blue flatbed trailer is parked on a street lined with apartment buildings and green trees during the daytime.  "
dump_truck (489).jpg,"A yellow HYUNDAI excavator sits on a gravel lot with a building on the right, trees behind it, a building further behind the trees, under an overcast daytime sky. "
fire (472).png,A large fire rages on a hillside with a fire truck visible in the distance during daytime. 
m6_ppe (65).jpg,A worker wearing a red safety helmet and a yellow safety harness is holding a rope connected to a harness and looking at the ceiling. 
road_roller (365).jpg,"A used orange Dynapac tamping foot road roller with an open canopy, designed for compacting cohesive soils, is actively working on a muddy construction site during the day, with an adult male in"
tractor (204).jpg,"A man drives a bright red Swaraj 855 FE tractor with large, white wheels across a grassy field under a clear blue sky. "
dump_truck (271).jpg,A blue dump truck unloads a large pile of trash into a red dump truck. 
sports_car (287).jpg,"A yellow and black racing car with the number 98 and the number 99 on its side sits on a track during the daytime, with a person in a red helmet and a person in a blue helmet standing"
rv (493).jpg,A woman is holding a small child in her arms in a sunny outdoor setting. 
cat (217).jpg,A fluffy grey kitten with bright yellow eyes looks forward with a curious expression. 
sports_car (228).jpg,"A black Chevrolet Corvette coupe sits parked on a gravel lot during the daytime, with a few people visible in the background. "
m1_ppe (331).jpg,"A fat worker in a harness is walking outside, looking at the template behind him. "
convertible (202).jpg,"A deep, glossy black convertible sits under soft, inviting light, its glossy surface catching the warm light while the chrome grille and wide stance give it a playful yet playful presence, and the smooth,"
m1_ppe (252).jpg,A worker wearing a yellow safety helmet and a fluorescent yellow safety harness is standing with his back turned. 
m3_ppe (103).jpg,A worker in a yellow hard hat and safety vest is holding a tablet in a warehouse. 
dump_truck (161).jpg,A yellow excavator loads dirt into a yellow dump truck at a construction site. 
holdingGun_person (142).jpg,"A person in a black hoodie and jeans walks through a dimly lit warehouse, holding a gun. "
convertible (150).jpg,"A sleek silver convertible is shown from a low angle, its sleek lines and polished body lines catching the sunlight while the dark gray seats and sharp headlights give it a playful yet powerful presence. "
m10_ppe (439).jpg,"A middle-aged man wearing a white safety helmet, sunglasses, and a yellow safety harness stands with his back turned, holding a yellow railing with one hand. "
fallen_person (28).jpg,"A construction worker in a hard hat kneels to assist an injured colleague lying on the ground at a construction site, with a first aid kit nearby. "
bicycle (393).png,A street with a yellow line and a brick wall with a sign on it. 
m8_ppe (50).jpg,A young adult wears a clear face shield incorporating clear glasses with blue temples during the day. 
ambulance (475).jpg,A white police van with a red light on top is driving down a road. 
fire_truck (252).jpg,A red fire truck labeled Squad is parked on the road in daylight. 
fire_truck (111).jpg,A red fire truck drives between cars on a narrow road during daytime with sedans parked on the left and a black Ford SUV on the right. 
motorbike (115).jpg,An adult male wearing a black helmet rides a silver motorbike with a young child as passengers on a city street during the daytime. 
pickup_truck (214).jpg,"A silver pickup truck with a black license plate is seen from behind on the left side of a wide road, which is flanked by a fence and a building. "
taxi (326).jpg,A gray sedan taxi stops on the road under cloudy daylight with no visible brand or license plate. 
bird (162).jpg,A pink flamingo stands on the water during the daytime. 
bulldozer (361).jpg,A yellow bulldozer is parked in front of the white wall. 
police_car (108).jpg,"A man wearing a white safety helmet, black sunglasses, a mask, and a yellow safety harness stands with his back turned during the day. "
stealing_person (372).jpg,A young woman with long brown hair and a red hoodie wears a vibrant green graphic t-shirt and blue jeans while holding a spray can and a colorful graffiti-covered wall. 
bicycle (383).jpg,"A group of bicyclists wearing blue and white uniforms are riding down a road, with one man in the lead. "
fuel_truck (366).jpg,A white and blue refueling truck with the hazard number 1203 is parked on the tarmac near the wing of a large passenger jet during the daytime. 
concrete_truck (138).jpg,A large yellow cement truck is parked on a dirt road. 
road_roller (338).jpg,"A used yellow Caterpillar tamping foot road roller with an enclosed cab, designed for compacting cohesive soils, is actively working on a dirt road during the day, with no people visible. "
train (272).jpg,A red passenger train is at platform while people wait and walk on platform in daytime. 
bus (408).jpg,A blue and white 'Khatun Enterprise' Hino bus with passengers inside is stopped on a city street as a man in a white shirt stands nearby. 
motorbike (350).png,A gray sedan taxi stops on the road with no visible brand or license plate while an adult man rides a motorcycle nearby. 
bus (405).jpg,A white and blue 'Khatun Enterprise' bus with passengers inside is stopped in traffic as a man in a red shirt stands nearby. 
helicopter (395).jpg,"A small helicopter with a four-leaf propeller, a phenestron-style tailrotor and a skid landing gear is flying over a cloudy sky. "
ambulance (127).jpg,"A large Hyundai ambulance with plate 798440 is parked, no people visible. "
m3_ppe (158).jpg,A worker in a reflective vest and helmet holding a tablet. 
helicopter (220).jpg,"A small helicopter with a red base and a white stripe running down the middle, with a two-blade propeller, a two-blade tail rotor, and skid landing gear, is seen flying"
crane_truck (395).jpg,A white Hino 500 truck featuring a red Unic crane arm stands against a plain white background. 
m5_ppe (267).jpg,"A man in his 20s or 30s, wearing a black short-sleeved shirt, a yellow earmuffs, and yellow face protection gear, is looking straight ahead in the daytime."
jeep (150).jpg,"A dark green jeep drives dusty ground during the day, stop other off-road vehicles, green steep foothills background. "
rickshaw (335).jpg,A gray auto-rickshaw with license plate KA03 D6714 is parked on a street with pedestrians walking on the sidewalk during the daytime. 
m4_ppe (235).jpg,"During the day, a man wearing a safety helmet, sunglasses, a yellow safety harness, and blue work clothes stands sideways with both hands on his hips. "
rv (467).jpg,A dark blue van with a black license plate reading “WXF 557” is parked on a street with a large building and a few people visible.  
stealing_person (101).jpg,A man wearing a black hoodie and a mask crouches down to spray paint a large black dog. 
stealing_person (83).jpg,"Two adult men, one wearing a red earmuffs and the other a black short-sleeved shirt, stand outdoors in the daytime, with the man on the left wearing a black hat and"
stealing_person (157).jpg,A person wearing a black hoodie and a mask uses a crowbar to pry open a window. 
quad (410).jpg,A black and red TomRide ATV with knobby tires and a black seat sits on a light-colored tiled floor in a brightly lit garage or workshop during the daytime. 
m10_ppe (66).jpg,"A small yellow safety helmet with a waterproof coating on the helmet, a black safety harness with a black strap, and a red safety harness with a yellow safety harness are attached to the back of the helmet"
fighting_person (499).jpg,"During the daytime, young men wearing white T-shirts and blue jeans are standing and fighting, throwing punches and fighting.  "
ambulance (282).jpg,"A medium ambulance is parked, plate unreadable, no people visible. "
van (305).jpg,A white van with a black license plate reading “WXF 5716” is parked on the side of a road.  
holdingGun_person (147).jpg,An adult man in a yellow safety vest and black gloves stands with his hands clasped on a counter in the middle of the room. 
cat (499).jpg,A gray cat drinks water from a white bowl. 
m4_ppe (159).jpg,"A man in his 20s or 30s, wearing a black short-sleeved shirt, a lime green earmuffs, a yellow safety vest over a brown short-sleeved shirt"
cat (435).jpg,A white and gray cat lies on a patterned blanket and looks forward. 
m3_ppe (271).jpg,A smiling worker in a white hard hat and safety vest stands with his arms crossed in front of a large white container. 
sports_car (462).jpg,"A silver Lotus Elise convertible sports car with its custom hood open sits parked on a gravel lot during the daytime, with a person in the background. "
motorbike (467).jpg,"A young woman sits on a red motorbike in a brightly lit showroom, with a white motorbike and a black motorbike in the background. "
limousine (350).jpg,"A dark-colored van is parked on a street next to a sidewalk, with people and bicycles visible around it. "
bulldozer (5).jpg,A side view of a yellow bulldozer during the day. 
fighting_person (59).jpg,"During the daytime, a person lies on the ground with their legs raised, surrounded by other people, with a skateboard nearby. "
m7_ppe (28).jpg,"A woman with long brown hair, wearing a clear face shield with a light blue headband, looks to the side. "
m7_ppe (409).jpg,A black and white full-body safety harness with a silver buckle is displayed on a white torso mannequin against a white background. 
concrete_truck (351).jpg,A white fuel truck with a dark gray tanker is driving on a wet road during the daytime. 
walking_person (188).png,"A man wearing a red cap, a black t-shirt, and black pants walks along a paved path near a large flock of large black birds during the daytime. "
fuel_truck (162).jpg,"A silver semi-truck is driving a large silver tanker trailer on a highway, with a large white bird flying in the distance during the daytime. "
suv (390).png,"At night, a white sedan drives past the KB Kookmin Bank building with its headlights on. "
forklift (202).jpg,"An adult male drives a red and black Toyota forklift, carrying a large stack of boxes on a pallet inside a warehouse during the daytime.  "
ambulance (485).jpg,"A medium ambulance van is parked, plate unreadable, no people visible. "
suv (297).jpg,A silver Kia SUV is parked on a street lined with buildings and trees during the daytime. 
m1_ppe (84).jpg,"An adult man stands, wearing an orange safety helmet, a yellow safety harness, and a red and black safety harness with yellow straps, with his back turned, holding a rope connected to the harness during"
bus (145).jpg,A vibrant orange and white Hino bus with a driver inside drives past a modern building with a red roof. 
sports_car (364).jpg,"A sleek silver Shelby GT500 coupe with a custom black racing stripe is displayed on a glossy black display stand, featuring a prominent red ""S"" logo on its side, a prominent ""3"""
recycling_truck (387).jpg,"A large garbage truck is parked on the street, with a man standing next to it. "
car (451).jpg,"A yellow Hyundai ambulance with plate 998-988 is parked on the side of the road, no people visible. "
fire_truck (478).jpg,"An adult male operates a red fire truck during the daytime, while another adult male stands observing the scene. "
truck (145).jpg,"A blue truck with a metal cargo body is parked in front of a building with a sign that says ""Honeyland"". "
convertible (431).jpg,"A bright red convertible glides along a sunlit country road, its chrome grille and polished wheels catching the warm glow while the distant hills blur into soft golden tones beneath the soft, hazy sky"
ship (296).jpeg,"A large white sailing ship with multiple masts and multiple masts moves across calm blue water during daytime, with several people on deck and a distant shoreline visible in the distance. "
fighting_person (127).jpg,"During the daytime, an adult man wearing a blue short-sleeved shirt and an adult man wearing a black short-sleeved shirt are fighting, throwing punches at each other. "
fighting_person (26).jpg,"During the day, adult men wearing black tops and black pants, adult men wearing black tops and black pants, adult men wearing white tops and white pants, adult men wearing white tops and white pants,"
m2_ppe (335).jpg,A worker wearing a yellow safety helmet and a yellow safety harness is working with a large yellow crane. 
cat (60).jpg,A brown tabby cat stands on a tree branch in a tree and looks to the side. 
convertible (57).jpg,"A black convertible with a beige interior is parked outdoors in front of a modern building with a red velvet rope hanging from the ceiling, with a few people visible in the background during the daytime. "
fire (178).png,"A large fire rages in the distance, engulfing trees and a building. "
pickpocketing_person (188).jpg,"Two young women, one wearing a red dress and the other a black dress, stand in front of a red fire truck during the daytime. "
motorbike (18).jpg,"An adult male and an adult female, both wearing black helmets, sit on a silver motorbike in a crowded market filled with many other motorbikes during the daytime. "
pickup_truck (306).jpg,"A silver pickup truck with a white license plate is seen from behind near the left side of a wide road, where shadows from buildings and trees are cast. "
walking_person (198).png,"A man dressed in a red polo shirt, jeans, and a backpack pushes a young boy dressed in a blue top and jeans along a park path while walking alongside him on a sunny day. "
m10_ppe (254).jpg,"An adult male stands still, wearing a blue disposable gown, a clear face shield with a blue headband, and a green N95 respirator mask. "
fighting_person (86).jpg,"On a street with graffiti on the sidewalk, two adult men are standing and fighting, one wearing a white T-shirt and black pants and the other wearing a black T-shirt and black pants."
motorbike (302).jpg,A black delivery motorbike with a large black cargo box is parked on a brick sidewalk next to a building during the daytime. 
m3_ppe (379).jpg,"A man wearing a white helmet, a neon yellow vest, and a white safety harness stands with his back turned, holding a white container with one hand. "
sports_car (458).jpg,"A silver Lotus Elise convertible sports car, adorned with a blue and yellow graphic, sits on a paved racetrack with a person in a white helmet and a yellow vest standing in the foreground during the"
fire_truck (362).jpg,A red fire truck labeled Ladder 25 with a ladder mounted on top drives along the road during the day. 
airplane (70).jpg,"A white and blue airport jet with the text ""KLM"" on the forward fuselage and the registration ""PH-KJ"" on the rear is parked on a grassy field with a large"
dump_truck (469).jpg,An orange bulldozer pours dirt into the bed of a dump truck. 
concrete_truck (320).jpg,"A long, dark green tanker trailer with a white and blue tanker is parked on a dirt road, with a distant cityscape in the background during the daytime. "
car (32).jpg,"A white sedan drives on a street at night, with a light-colored car and a building in the background. "
m6_ppe (445).jpg,"A man wearing a white safety helmet, light blue mask, yellow safety harness, and blue waist belt raises both hands to his chest, attempting to hook the carabiner of the orange line attached to"
m4_ppe (340).jpg,"A young man in a neon yellow reflective vest poses for a photo, time unknown. "
m7_ppe (7).jpg,"An adult female wears a clear face shield incorporating clear glasses with blue temples, with a textured face shield featuring a black headband and a decorative pattern on the sides. "
forklift (3).jpg,"A large grey forklift stands on a concrete path next to a green field, with a yellow forklift visible in the background during the daytime.  "
airplane (258).jpg,"A sleek white business jet with a dark blue tail and a red and blue stripe along its fuselage sits stationary on a concrete ramp in a vast, open landscape under a bright, cloudy sky. "
m4_ppe (189).jpg,"A group of workers wearing red and yellow helmets and orange safety vests are standing on a road, with one man pointing at a large rock. "
road_roller (78).jpg,"A used yellow Liugong tamping foot road roller with an open canopy, designed for compacting cohesive soils, is actively working on a dirt road during the day, with no people visible. "
m1_ppe (17).jpg,A worker wearing a safety helmet and mask is wearing protective gear and trying to untie the connections of the harness. 
motorbike (162).jpg,A red and black motorbike is on a street with a person in a red shirt and black pants standing next to it. 
fallen_person (128).jpg,"A man in a blue shirt and jeans lies on a tiled floor, appearing unconscious after a fall, with a ladder and a ladder on top. "
road_roller (477).jpg,"A used orange XCMG tamping foot road roller with an enclosed cab, designed for compacting cohesive soils, is parked on a dirt lot during the day, with an adult male visible inside the"
bicycle (184).jpg,"A person wearing a black t-shirt and black pants lies face down on a paved surface, surrounded by a fence and a body of water under a clear blue sky. "
truck (96).jpg,"A silver flatbed truck with a metal cargo body is parked on a paved road, with a building and trees visible behind it. "
bus (281).png,"At night, a teal-colored bus with license plate 703.30 passes through a crosswalk, while a white car and a gray car are visible on the right. "
fallen_person (257).jpg,"A person in a light blue top and dark pants lies face down on a light green mat, with their eyes closed and one hand resting on their knee, suggesting a fall. "
bird (69).jpg,"A young woman wearing a blue cap and a blue shirt sits on a blue all-terrain vehicle with a large white cargo bed, while a man in a blue shirt stands beside her and a woman"
m10_ppe (81).jpg,"An adult male wearing a yellow safety helmet, a fluorescent yellow vest, and a red and black safety harness stands on a bridge holding a rope during daytime. "
pickup_truck (330).jpg,"A black pickup truck with a metal fence on its cargo bed is seen from behind on the left side of a wide road, where shadows from buildings and trees are cast. "
tractor (98).jpg,"A red Mahindra Arjun Novo tractor with large, muddy tires is positioned in a muddy field, with a green field in the background. "
m1_ppe (288).jpg,A fat worker in a harness is turning around in front of the TV and looking at the floor. 
fighting_person (267).jpg,"Two adults, one in a black jacket and the other in a gray hoodie, are fighting, with the hoodie being held by the hoodieless person. "
motorbike (56).jpg,An adult male stands next to a red motorbike on a street during the daytime. 
cat (268).jpg,A fluffy white cat with bright yellow eyes sits on a patterned blanket and looks forward. 
van (480).png,"In a black-and-white nighttime scene lit by streetlamps, brick villas line the left side, and a white-toned van is parked beside a white BMW. A man in"
convertible (72).jpg,"A sleek silver convertible sits on a quiet coastal road, its sleek body reflecting the ocean waves while the calm blue sea stretches endlessly beneath the bright blue sky. "
m2_ppe (173).jpg,"Two workers wearing yellow helmets and safety harnesses are working on a concrete structure, with one person using a grinder and the other using a tool. "
bulldozer (61).jpg,An orange bulldozer is parked during the day. 
motorbike (472).jpg,An adult male sits on a red motorbike next to a white motorbike during the daytime. 
m7_ppe (321).jpg,A young woman wears a clear face shield with blue band during the day. 
m10_ppe (482).jpg,"An adult man, wearing an orange safety vest and a dark beanie with a black mark on the vest, stands looking straight ahead with both hands raised. "
bulldozer (375).jpg,A well-maintained yellow Volvo excavator is on dirt ground with a person in orange clothes and a yellow helmet standing in the background under a cloudy daytime sky. 
fuel_truck (46).jpg,A white fuel truck with a 'FLAMMABLE' tanker is parked on the tarmac next to a large passenger jet during the daytime. 
traffic_accident (9).jpg,A black car is overturned on a roadside during daytime with grass and trees in the background. 
traffic_accident (65).jpg,A blue car lies upside down on the road with a person in a red jacket and a yellow safety vest standing nearby during the day. 
m5_ppe (272).jpg,"A man in his 20s or 30s, wearing a black short-sleeved shirt, a yellow earmuffs, and yellow face protection gear, is holding his yellow face protection gear with"
m1_ppe (8).jpg,A worker wearing a white safety helmet is trying to untie the connections of the harness while wearing protective gear. 
